team,elo_after,avg_goals_for_5,avg_goals_against_5,avg_points_5,avg_goals_for_10,avg_goals_against_10,avg_points_10,elo_rank_after
Argentina,2094.8090736548256,2.8,1.4,3.0,2.9,0.7,3.0,1
Spain,2077.6441326622,1.8,0.2,3.0,1.7,0.3,2.4,2
France,2013.4689600608965,2.0,0.6,2.4,2.3,0.8,2.4,3
England,1959.2313986768959,2.0,1.2,2.4,1.8,0.9,2.2,4
Brazil,1955.7871011825835,2.0,0.8,2.0,2.3,1.1,2.0,5
Colombia,1949.4779513258218,1.0,0.2,2.2,1.5,0.7,2.0,6
Portugal,1946.5599420607525,1.6,0.6,1.6,2.3,0.6,2.1,7
Netherlands,1916.5988135592875,2.6,1.2,2.2,2.1,1.0,1.9,8
Germany,1915.0464490653362,2.6,1.2,2.0,3.1,1.0,2.5,9
Morocco,1908.197464083279,1.8,1.0,2.0,2.2,0.8,2.1,10
Belgium,1893.6816437933624,2.6,1.2,2.0,2.7,1.0,2.1,11
Mexico,1891.1055295697568,2.0,0.6,2.4,1.9,0.5,2.3,12
Italy,1886.898619569303,1.2,1.0,2.0,2.4,1.0,2.5,13
Japan,1886.19103152435,1.8,1.0,1.6,1.9,0.7,2.3,14
Ecuador,1875.3182087221217,1.0,0.8,1.4,1.1,0.7,1.6,15
Croatia,1869.734526168344,1.6,1.6,1.8,1.7,1.7,1.8,16
Switzerland,1865.6372878849972,1.8,1.0,2.0,1.8,1.2,1.6,17
Norway,1861.180249688799,1.8,2.0,1.8,1.8,1.5,1.7,18
Denmark,1844.7559878668583,2.0,1.4,1.6,2.4,1.0,1.9,19
Turkey,1841.943623626517,1.8,1.2,1.8,1.9,0.9,2.2,20
Uruguay,1839.7390078202197,0.8,1.0,0.8,0.8,1.1,1.2,21
Austria,1821.767965524058,1.4,1.8,1.4,1.6,1.2,1.7,22
Algeria,1818.0413439865615,1.8,1.8,1.4,1.8,1.1,1.7,23
Iran,1815.710250845596,1.6,0.8,1.8,1.6,0.6,1.7,24
Paraguay,1804.7222018419347,0.6,1.2,1.0,1.2,1.1,1.4,25
Senegal,1797.2428274543427,2.0,1.8,0.8,1.8,1.6,1.3,26
Australia,1795.7303400950027,0.8,0.8,1.2,1.0,1.0,1.2,27
South Korea,1790.1017304279364,1.6,0.6,1.8,1.3,0.8,1.8,28
Ukraine,1787.4698458118226,1.4,1.0,1.8,1.5,1.6,1.6,29
Canada,1786.40014645739,1.8,1.2,1.4,1.6,0.9,1.6,30
United States,1778.1067494603549,2.2,1.6,1.8,2.2,2.0,1.5,31
Russia,1776.5285167932982,1.8,0.4,2.0,1.9,0.7,2.0,32
Ivory Coast,1769.3520843057183,1.4,1.0,1.8,2.0,1.0,2.1,33
Basque Country,1766.4096551672724,2.0,0.8,2.2,2.2,0.7,2.2,34
Egypt,1764.7849671455806,1.6,1.4,1.2,1.4,0.9,1.4,35
Nigeria,1759.847271068252,2.0,1.2,1.6,1.8,0.7,1.9,36
Chile,1748.1726710910557,2.0,2.0,1.8,1.4,1.6,1.6,37
Venezuela,1747.5190715609672,1.4,1.0,1.4,1.1,1.7,1.0,38
Jersey,1745.0910069490012,2.8,1.8,2.0,2.7,1.0,2.5,39
Serbia,1744.9400713198177,1.0,2.6,1.2,0.9,2.2,1.2,40
Yugoslavia,1744.7422070776056,1.6,1.8,1.2,2.1,1.3,1.4,41
Hungary,1743.4621008247411,1.6,1.0,2.0,1.7,1.2,1.8,42
Sweden,1741.3273839947317,1.8,2.4,1.0,1.8,2.3,1.2,43
Poland,1738.7473235472573,1.8,2.0,1.4,1.7,1.3,1.8,44
Scotland,1731.4581580273123,1.8,1.0,1.8,1.7,1.3,1.5,45
Czech Republic,1730.7310921404678,1.8,1.6,1.4,2.1,1.4,1.5,46
Greece,1725.7625057198193,0.4,0.8,0.6,1.2,1.6,0.9,47
Czechoslovakia,1712.3057867289822,2.6,0.8,2.2,2.1,0.9,1.7,48
Slovenia,1708.058198911106,1.2,1.4,1.0,0.8,1.4,0.8,49
Uzbekistan,1707.7464386697654,0.6,3.0,0.0,1.0,1.8,0.9,50
Republic of Ireland,1702.5421705957367,1.8,0.6,1.8,1.6,0.8,1.8,51
German DR,1701.4394049537605,2.2,1.0,2.6,1.9,1.3,2.2,52
Peru,1700.5658420637824,1.2,2.0,0.8,0.8,1.7,0.6,53
Panama,1697.7911817759143,1.0,1.4,0.8,1.1,1.7,0.9,54
DR Congo,1690.5279838069614,1.2,1.4,0.8,1.2,0.8,1.4,55
Guernsey,1681.6744164223223,1.4,0.8,1.8,2.3,1.0,1.8,56
Kosovo,1681.3371832058494,1.8,1.4,1.4,1.4,1.1,1.7,57
Wales,1679.2335263265068,2.2,1.2,1.2,1.5,1.4,1.2,58
Slovakia,1673.4344357152656,1.8,2.6,1.4,1.5,1.5,1.9,59
Iraq,1671.8865359392737,0.4,3.0,0.2,0.7,1.9,1.0,60
Catalonia,1667.4809096691308,2.0,1.4,1.6,2.1,1.1,1.9,61
Tunisia,1662.839796358115,0.4,3.6,0.0,0.7,2.3,0.6,62
Costa Rica,1662.63438124026,0.6,2.6,0.4,1.1,1.9,0.8,63
Cameroon,1661.8810038854663,1.2,1.0,1.8,1.0,0.7,1.7,64
Northern Cyprus,1661.1750180150852,3.6,0.8,2.6,3.3,0.9,2.2,65
Jordan,1656.9051873001,0.8,2.8,0.0,1.2,2.1,0.8,66
Saudi Arabia,1656.0815906368293,0.8,1.0,1.2,0.8,1.5,0.9,67
Mali,1653.0862488330595,0.2,0.8,0.6,1.2,0.9,1.4,68
Georgia,1652.8703695094682,1.6,1.0,1.6,1.4,1.8,1.1,69
Romania,1650.7627888511047,2.0,1.2,1.4,1.6,1.5,1.4,70
Isle of Man,1648.2582930234603,4.6,1.4,2.4,3.5,1.2,2.1,71
Israel,1647.4096013713438,1.4,1.2,1.6,1.9,1.7,1.7,72
Ynys Môn,1645.1614723838188,2.2,1.4,2.4,2.1,1.0,2.7,73
Cape Verde,1640.3688817113639,0.8,1.6,0.6,1.1,1.4,0.9,74
South Africa,1638.559358869724,0.6,0.8,1.4,0.9,1.1,1.2,75
Bosnia and Herzegovina,1628.3961504824422,1.2,1.8,1.0,1.2,1.3,1.2,76
Burkina Faso,1626.7369814912113,1.6,1.8,1.0,1.8,1.3,1.7,77
Occitania,1624.9021711892478,1.8,0.6,2.2,3.3,0.6,2.4,78
Bolivia,1624.853142007955,1.2,2.2,1.2,0.7,2.1,0.7,79
United Arab Emirates,1623.4342486501812,1.2,1.6,1.0,1.2,1.4,1.2,80
Honduras,1623.0772961835216,1.0,1.2,1.0,0.8,0.8,1.1,81
Padania,1622.302528426017,2.4,2.0,1.8,2.0,1.6,1.4,82
Isle of Wight,1617.1880307880385,1.6,1.2,1.8,1.9,0.9,2.2,83
New Zealand,1615.8411682733035,0.8,3.0,0.2,1.0,2.3,0.5,84
Northern Ireland,1615.7461622256715,0.8,1.2,1.4,1.0,1.2,1.3,85
Jamaica,1610.6392028422058,0.6,1.0,1.2,0.9,0.8,1.4,86
Andalusia,1607.511206240708,2.2,0.6,2.6,2.3,0.9,2.6,87
Albania,1601.2493690061417,0.2,1.4,0.0,0.9,0.9,1.5,88
Haiti,1599.5363398770562,1.4,2.0,0.6,1.1,1.5,1.0,89
North Macedonia,1598.9172605419224,0.2,3.0,0.4,0.8,1.8,0.8,90
Iceland,1597.9544331634852,0.6,2.2,0.4,1.1,2.2,0.6,91
Ghana,1597.0083448387566,0.6,0.8,1.0,0.5,1.6,0.5,92
Abkhazia,1589.2140842273348,1.2,0.6,1.8,1.8,0.7,1.9,93
Iraqi Kurdistan,1588.7731526265882,1.8,0.6,1.8,2.3,0.9,1.5,94
Kernow,1588.351009981496,3.0,1.0,2.6,2.7,0.9,2.3,95
Guatemala,1577.6687691123955,1.2,3.8,0.6,1.0,2.4,0.8,96
Oman,1574.0709713567462,0.6,1.2,1.0,0.7,1.1,1.0,97
Finland,1570.664325802105,1.6,1.4,1.4,1.1,1.7,1.0,98
Belarus,1570.2046004326935,1.8,0.8,2.2,1.3,2.1,1.2,99
Rhodes,1569.650976914544,1.8,0.8,1.8,1.7,0.9,2.1,100
County of Nice,1569.4566633928262,2.2,1.6,2.0,2.111111111111111,1.4444444444444444,2.111111111111111,101
Kárpátalja,1566.568767684086,2.8,0.8,2.6,2.4,1.2,1.9,102
Corsica,1560.3976654891974,1.0,0.6,1.8,1.1111111111111112,0.5555555555555556,1.7777777777777777,103
Angola,1558.7710141487514,1.2,0.8,1.2,1.4,1.1,1.4,104
Réunion,1557.0050507292158,0.8,0.8,1.2,1.6,0.6,1.8,105
Ellan Vannin,1554.6645384908581,1.8,1.0,2.0,1.6,1.4,1.5,106
Tamil Eelam,1553.9173518075352,3.4,0.6,3.0,2.7,1.3,2.4,107
Yorkshire,1549.432415248468,4.0,2.0,2.4,3.857142857142857,1.5714285714285714,2.2857142857142856,108
Qatar,1549.345312620689,0.4,2.2,0.4,0.6,1.9,0.6,109
Kurdistan,1548.3235456394718,2.4,0.4,2.6,2.4,0.4,2.6,110
Montenegro,1543.4713839883989,1.8,1.6,1.4,1.3,2.0,1.3,111
New Caledonia,1541.6817358682374,1.2,1.0,1.4,2.3,1.0,2.0,112
Galicia,1541.0375509539906,1.4,2.6,1.4,1.3,2.1,1.2,113
Syria,1540.274328655316,0.6,1.2,1.0,2.0,0.9,1.8,114
Artsakh,1537.455550174408,1.8,1.6,2.0,3.1,1.3,1.9,115
China,1537.4174669438983,1.2,1.0,1.6,0.8,1.2,1.1,116
Suriname,1536.736064431339,1.6,1.4,1.0,1.3,1.4,1.0,117
Panjab,1535.5697445293426,3.6,2.0,1.4,3.0,1.4,1.4,118
Arameans Suryoye,1535.0432554002725,1.8,1.2,2.0,1.6,1.2,1.7,119
Palestine,1534.2725960334892,0.6,0.8,0.8,0.5,0.9,0.9,120
Thailand,1530.6167856429515,3.0,1.0,2.2,2.3,0.9,2.0,121
Libya,1529.5844052088905,0.6,0.4,1.4,1.1,0.9,1.5,122
Maule Sur,1528.6802751485857,1.0,0.0,3.0,1.0,0.0,3.0,123
Cascadia,1528.4464961590893,4.0,1.8,2.0,3.2857142857142856,2.0,1.8571428571428572,124
Guinea,1527.8096116421657,1.0,1.0,1.0,1.2,0.9,1.3,125
Menorca,1525.7843899045984,1.2,1.6,0.6,1.8,1.2,1.4,126
Bulgaria,1525.4139306411853,3.0,1.2,2.0,1.6,2.4,1.0,127
Curaçao,1523.3889430406502,1.2,2.6,0.8,1.5,2.1,0.9,128
Zambia,1520.1714687940882,0.6,2.4,0.4,0.5,2.3,0.5,129
Brittany,1518.7496195440658,1.2,1.0,1.8,1.3,1.4,1.5,130
Asturias,1518.3717167485813,3.0,1.0,3.0,3.0,1.0,3.0,131
Gabon,1518.178015310264,1.4,2.4,0.2,1.8,1.9,1.1,132
Chameria,1518.1647079233196,1.8,0.8,1.6,2.0,1.1428571428571428,1.5714285714285714,133
Elba Island,1518.021342147428,4.5,1.0,3.0,4.5,1.0,3.0,134
Zanzibar,1516.7812846969127,1.2,0.8,2.0,1.3,0.8,2.0,135
Biafra,1516.3012026799229,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,2.0,136
Surrey,1515.4298429598432,3.0,1.0,3.0,3.0,1.0,3.0,137
Benin,1515.1117884263529,1.0,1.8,1.4,0.6,2.0,1.0,138
Bahrain,1515.106384227755,1.2,2.0,1.2,0.9,1.7,0.7,139
Canary Islands,1514.4728166574364,2.75,0.75,2.25,2.75,0.75,2.25,140
Crimea,1512.9303839713702,1.4,2.2,1.8,1.4,2.2,1.8,141
Parishes of Jersey,1511.7513707710366,3.6666666666666665,1.3333333333333333,2.0,3.6666666666666665,1.3333333333333333,2.0,142
Donetsk PR,1510.939468975561,1.6,1.2,1.6,1.3333333333333333,1.1666666666666667,1.3333333333333333,143
Vietnam,1510.6799398811943,1.8,1.0,2.4,2.4,1.0,2.7,144
Quebec,1510.6142115667428,8.0,0.6666666666666666,2.0,8.0,0.6666666666666666,2.0,145
Malaysia,1510.1880999209106,2.4,0.4,3.0,1.9,0.6,2.3,146
Tahiti,1508.3745266088135,1.4,1.4,1.8,1.2,1.4,1.6,147
Felvidék,1507.4834909042768,1.0,0.8,1.8,1.1,1.6,1.4,148
Franconia,1506.8865489808873,2.6666666666666665,3.6666666666666665,2.0,2.6666666666666665,3.6666666666666665,2.0,149
Trinidad and Tobago,1505.0359528142037,0.6,3.4,0.2,1.0,2.3,0.7,150
Gambia,1504.017448327003,2.8,2.4,0.8,2.2,1.6,1.4,151
Silesia,1501.2738232948664,3.6,2.0,1.6,3.0,2.125,1.375,152
North Korea,1501.1990344649305,1.0,2.6,0.4,1.0,2.1,0.4,153
Central Spain,1501.0208141645703,1.0,2.0,1.5,1.0,2.0,1.5,154
Mapuche,1500.6471999915343,1.5,1.0,1.5,1.5,1.0,1.5,155
Sealand,1500.5762007375208,3.2,1.6,2.2,2.4,2.5,1.6,156
Matabeleland,1499.7659119169139,0.6,0.4,1.6,0.875,1.75,1.375,157
Uganda,1497.2305789510285,1.0,2.4,0.8,1.4,1.5,1.4,158
Délvidék,1496.3863039699606,2.0,1.5,1.5,2.0,1.5,1.5,159
Saugeais,1496.1275511364286,1.0,1.0,1.0,1.0,1.0,1.0,160
United Koreans in Japan,1495.799107935432,1.4,0.8,1.2,1.9,0.8,1.2,161
Indonesia,1491.307763218969,1.6,0.4,1.8,1.7,1.1,1.6,162
Guadeloupe,1490.9060207549412,1.4,2.0,1.2,1.5,1.1,1.6,163
Luhansk PR,1489.5457218266902,1.8,2.2,1.4,1.5,2.0,1.1666666666666667,164
Cilento,1487.6503205891079,0.0,2.0,0.0,0.0,2.0,0.0,165
Madrid,1486.9073217114794,1.0,2.0,0.0,1.0,2.0,0.0,166
Togo,1486.4765257808835,1.8,0.8,1.8,1.2,1.1,1.3,167
Western Armenia,1486.2152780051383,1.6,1.0,1.0,2.0,1.3,1.4,168
Madagascar,1485.5999501703495,1.8,2.2,1.4,1.7,1.9,1.6,169
Somaliland,1485.1259884624994,2.4,3.6,1.2,2.3333333333333335,3.3333333333333335,1.1666666666666667,170
Ryūkyū,1484.622620790215,0.0,9.0,0.0,0.0,9.0,0.0,171
