team,elo_after,avg_goals_for_5,avg_goals_against_5,avg_points_5,avg_goals_for_10,avg_goals_against_10,avg_points_10,elo_rank_after
Yoruba Nation,1484.3717103463282,0.5,1.0,0.5,0.5,1.0,0.5,172
Kuwait,1483.6962048286143,1.4,1.8,1.0,1.5,2.2,1.0,173
Kazakhstan,1483.5215220349912,1.0,1.0,1.4,1.1,1.4,1.2,174
Åland Islands,1483.1337353331267,0.8,1.8,0.8,0.8,1.4,1.0,175
Seborga,1482.1305078207204,2.0,3.0,0.0,2.0,3.0,0.0,176
Shetland,1481.893444326179,2.6,1.4,1.6,1.8,2.0,1.1,177
South Ossetia,1481.785959765482,1.6,1.2,1.6,1.3,2.2,1.4,178
El Salvador,1481.6532657423597,0.6,1.2,1.0,0.5,1.4,0.8,179
Monaco,1480.4824987520608,1.0,3.2,1.4,1.3,2.9,1.1,180
West Papua,1480.3402188385717,1.5,4.5,0.5,1.5,4.5,0.5,181
East Turkestan,1479.9406511669922,3.0,3.2,1.2,3.0,3.2,1.2,182
Comoros,1479.7974619321756,0.2,0.2,1.2,0.8,1.5,0.7,183
Hmong,1479.4378174366464,2.0,3.3333333333333335,1.0,2.0,3.3333333333333335,1.0,184
Kenya,1478.6009095996917,1.0,2.6,1.0,1.4,1.7,1.5,185
Greenland,1476.5773408359828,1.8,3.2,1.2,1.5,2.5,1.4,186
Niue,1476.4092852579513,0.0,16.5,0.0,0.0,16.5,0.0,187
South Yemen,1474.7522404446966,0.3333333333333333,2.6666666666666665,0.0,0.3333333333333333,2.6666666666666665,0.0,188
Chechnya,1473.5355915377509,1.0,9.666666666666666,0.3333333333333333,1.0,9.666666666666666,0.3333333333333333,189
Gozo,1473.014819735699,0.8,1.2,1.0,2.6,1.4,1.4,190
Republic of St. Pauli,1472.3575897859282,2.5,1.25,1.0,2.5,1.25,1.0,191
Kabylia,1472.289492545524,1.6,1.4,1.0,1.3333333333333333,2.5,0.8333333333333334,192
Rouet-Provence,1471.2557273300315,1.0,2.6666666666666665,0.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,193
Mozambique,1470.9740412910191,0.8,2.0,0.6,1.0,1.5,1.0,194
Aymara,1470.67252485988,0.5,2.0,0.0,0.5,2.0,0.0,195
Romani people,1470.5749467236626,1.6,2.8,0.6,1.8571428571428572,3.7142857142857144,0.8571428571428571,196
Luxembourg,1469.5127093060414,0.2,1.2,0.6,0.2,1.5,0.4,197
Mauritania,1468.8279496958705,0.6,1.2,0.8,0.6,1.1,1.0,198
Székely Land,1468.1240398271327,3.0,1.8,1.4,2.1,2.2,1.1,199
Guyana,1467.3663003805261,2.8,0.6,3.0,2.6,1.2,2.4,200
Papua New Guinea,1466.2296177336323,2.0,1.0,2.6,1.8,1.5,1.8,201
North Vietnam,1465.6582159598106,1.8,1.6,1.4,2.5,1.5,1.5,202
Sudan,1465.3590129646054,0.6,2.2,0.6,0.5,1.7,0.7,203
Zimbabwe,1464.2127176167546,1.4,1.2,1.4,1.1,1.3,1.1,204
Nicaragua,1463.5147747206947,0.6,1.8,0.8,0.5,2.2,0.5,205
Martinique,1458.5920620045026,0.4,1.2,0.4,0.6,1.2,0.7,206
Western Isles,1457.7483398771524,1.4,1.2,1.4,1.1,1.9,1.0,207
Găgăuzia,1457.3624564633544,0.6666666666666666,3.0,0.3333333333333333,0.6666666666666666,3.0,0.3333333333333333,208
Estonia,1457.1415367874338,1.4,1.0,2.0,1.0,1.8,1.2,209
Palau,1457.0517551383882,2.0,10.5,0.0,2.0,10.5,0.0,210
Rwanda,1456.9917700035348,1.4,0.8,1.8,0.8,1.2,1.0,211
Canton Ticino,1454.2150257348799,1.2,4.2,0.6,1.2,4.2,0.6,212
Vanuatu,1453.8085651148647,1.8,1.2,2.0,1.6,2.2,1.4,213
Western Sahara,1453.4914948453727,2.2,4.4,1.2,1.7777777777777777,4.222222222222222,0.7777777777777778,214
Manchukuo,1452.0462967079204,0.0,5.333333333333333,0.0,0.0,5.333333333333333,0.0,215
Sápmi,1451.203139693704,0.8,2.6,0.6,1.1,2.0,0.9,216
Dominican Republic,1451.156334450308,1.4,1.4,1.2,1.0,1.6,0.7,217
Sierra Leone,1447.8282101592536,1.0,1.2,1.4,1.1,1.1,1.4,218
Equatorial Guinea,1447.8073534038392,0.6,1.2,0.8,0.5,1.5,0.5,219
Provence,1447.6237410978886,6.2,2.4,1.2,5.5,2.0,1.2,220
Two Sicilies,1447.5793784024147,0.4,2.8,0.6,0.5,3.0,0.5,221
Marshall Islands,1447.2507057213043,1.0,3.5,0.0,1.0,3.5,0.0,222
Saarland,1445.6292269549524,1.2,3.6,0.2,1.1111111111111112,2.888888888888889,0.5555555555555556,223
Niger,1444.4153682688818,0.4,0.8,0.6,0.9,1.3,1.2,224
Kyrgyzstan,1443.2458000030676,0.6,1.4,0.6,1.0,1.7,0.7,225
Tajikistan,1442.9550190925236,2.8,0.4,2.6,2.2,1.1,2.3,226
Lebanon,1442.8260271060217,2.0,0.4,2.0,2.1,0.5,1.8,227
Armenia,1441.1459552744832,0.8,2.8,0.4,0.8,2.5,0.6,228
Sark,1441.1029838248205,0.0,17.5,0.0,0.0,17.5,0.0,229
Fiji,1438.4033919039796,0.2,3.4,0.0,0.7,2.8,0.6,230
Mayotte,1438.1835551384302,1.2,0.6,1.6,1.2,0.8,1.7,231
Faroe Islands,1431.0346053459848,1.0,1.0,1.8,1.4,0.8,2.1,232
Gotland,1429.2962119379488,3.8,1.6,1.2,2.9,1.9,0.9,233
Namibia,1429.159167107564,0.0,2.0,0.2,0.7,1.6,0.8,234
Ambazonia,1427.9270495472924,0.2,3.0,0.0,0.5,2.8333333333333335,0.16666666666666666,235
Orkney,1426.9211602605437,2.0,1.6,1.8,1.9,1.8,1.6,236
Botswana,1423.269051293103,0.2,2.0,0.6,0.6,1.8,0.7,237
Saint Barthélemy,1422.6656057513874,3.0,2.4,1.4,2.5,3.0,1.3,238
Malawi,1421.6559223442891,0.4,0.6,1.0,0.9,0.9,1.2,239
Vatican City,1420.0580742473826,0.8,2.0,0.4,0.75,2.625,0.375,240
Micronesia,1419.6451737540635,1.4,10.4,0.6,1.1428571428571428,8.428571428571429,0.42857142857142855,241
Azerbaijan,1417.682623986793,2.0,1.6,1.4,1.2,2.1,0.8,242
French Guiana,1416.6335549179125,1.4,2.0,0.4,1.7,1.5,1.1,243
Ethiopia,1416.5671042333272,0.8,1.2,1.4,1.2,1.4,1.3,244
Barawa,1415.2535717783448,0.4,5.0,0.6,1.4,3.8,0.9,245
Western Australia,1415.2230212952625,1.4,1.6,1.0,1.4,1.7,1.1,246
Cyprus,1415.1069237790098,1.6,1.6,1.4,1.6,1.5,1.2,247
Cuba,1415.0068360623332,1.6,1.0,1.6,1.0,1.9,1.1,248
Burundi,1410.6251478632278,0.0,2.2,0.0,0.6,1.4,0.7,249
Yemen DPR,1409.855716222203,0.8,2.2,0.8,1.0,2.4,0.6,250
Darfur,1407.5380612037925,0.2,13.2,0.0,0.14285714285714285,14.142857142857142,0.0,251
Vietnam Republic,1406.8077532837628,0.2,2.4,0.0,1.0,2.0,0.8,252
Liberia,1403.7781555028914,1.0,1.4,0.8,1.3,1.5,1.2,253
Chagos Islands,1402.7856169417482,1.2,6.2,0.0,1.5,5.6,0.4,254
Lesotho,1402.4565835759754,0.6,0.8,1.0,0.7,1.9,0.9,255
Tanzania,1401.6365935080034,1.6,0.8,1.0,1.2,1.4,0.5,256
Raetia,1400.553102023539,3.6,2.6,1.4,2.7,2.8,1.0,257
Saint Helena,1400.480740776106,0.6,3.8,0.0,0.75,5.125,0.0,258
Saint Pierre and Miquelon,1399.5772503010096,0.4,12.0,0.0,0.2857142857142857,11.142857142857142,0.0,259
Malta,1398.974343151107,1.4,1.8,1.2,1.1,2.3,1.1,260
Solomon Islands,1398.244923943289,1.2,4.0,0.0,1.6,2.9,0.6,261
Turkmenistan,1398.2393190218424,2.0,1.0,2.4,1.6,1.4,1.6,262
Hitra,1394.3156606555158,2.8,2.6,1.2,2.3,2.9,1.3,263
Saint Vincent and the Grenadines,1389.9842663251243,1.6,1.6,1.8,2.6,1.1,1.9,264
Central African Republic,1388.0429344618387,0.8,2.6,0.8,0.7,2.1,0.8,265
Bermuda,1382.436742374097,1.0,3.0,0.8,1.4,2.6,1.0,266
Guinea-Bissau,1377.6044176768562,0.6,1.6,0.8,0.6,1.7,0.5,267
Puerto Rico,1370.9202490689786,1.6,2.0,1.8,1.1,1.9,1.1,268
Kiribati,1370.5977978198202,0.4,12.8,0.0,0.7,10.2,0.1,269
Philippines,1368.1894878614557,3.8,0.8,3.0,2.9,1.1,2.5,270
Saare County,1363.497228903899,2.4,2.0,1.6,1.6,2.1,1.1,271
Latvia,1362.178866063749,0.4,1.8,0.4,0.5,1.4,0.5,272
Lithuania,1361.4492095245814,0.6,1.6,0.8,0.7,1.6,0.6,273
Moldova,1361.2287443877403,1.2,2.4,0.4,0.9,3.2,0.3,274
Congo,1359.8862067416042,0.8,1.8,0.2,0.6,2.3,0.5,275
Sint Maarten,1356.4472289912692,1.4,0.8,2.2,1.3,2.2,1.7,276
Wallis Islands and Futuna,1356.1137552007149,1.4,7.4,0.6,0.7,5.8,0.3,277
Eswatini,1345.1495665883956,1.0,2.6,0.4,0.7,2.4,0.5,278
Singapore,1339.1908245962416,2.2,1.4,1.8,1.9,1.3,1.7,279
Hong Kong,1335.8688306349338,1.0,1.2,1.0,1.9,1.1,1.5,280
Saint Kitts and Nevis,1333.8462153416287,1.6,2.6,1.4,2.1,2.7,1.3,281
Belize,1327.4403100750915,2.0,2.0,1.2,1.5,2.7,1.0,282
Yemen,1327.134766146706,4.4,1.0,2.2,2.8,1.0,1.8,283
Tibet,1323.795110738471,2.4,4.2,0.2,1.6,4.1,0.2,284
Saint Martin,1322.541522447789,1.8,1.0,1.8,1.7,1.7,1.5,285
Samoa,1319.0763116607768,1.0,3.2,1.2,1.2,3.0,1.2,286
Grenada,1318.7697204527242,0.4,2.6,0.6,1.7,2.1,1.5,287
Tuvalu,1316.8587439034163,1.6,4.2,1.2,1.3,5.6,0.7,288
South Sudan,1306.2171713874125,0.2,2.2,0.4,0.6,2.0,0.6,289
Montserrat,1305.784431129367,0.4,1.4,0.6,0.6,2.0,0.6,290
Saint Lucia,1302.9458961631242,0.8,3.4,0.6,0.9,3.1,0.9,291
Falkland Islands,1302.227549202681,0.6,3.2,0.2,0.7,3.3,0.1,292
India,1300.475326564315,0.4,1.6,0.2,0.4,1.4,0.3,293
Chad,1289.7360663069553,1.2,2.4,0.2,0.8,2.1,0.3,294
Frøya,1287.558907759576,1.0,4.8,0.6,1.3,3.9,0.4,295
Cook Islands,1273.469309392002,0.4,2.0,0.6,0.5,3.3,0.6,296
Aruba,1258.9813095807926,2.2,1.2,2.0,1.5,1.9,1.4,297
Eritrea,1257.2939371036402,0.4,2.0,0.0,0.4,2.1,0.1,298
Mauritius,1255.8325141647742,0.8,2.0,0.4,0.6,1.5,0.6,299
Bonaire,1246.530295016166,1.2,2.2,0.6,0.8,2.2,0.6,300
Dominica,1242.8191362158768,0.6,2.4,0.2,0.7,1.8,0.7,301
São Tomé and Príncipe,1236.5845791788465,0.8,2.8,0.6,0.6,2.1,0.5,302
Afghanistan,1234.662183085182,0.4,1.0,1.0,0.4,1.5,0.5,303
Gibraltar,1233.2880421144496,1.8,2.4,1.2,1.0,2.5,0.6,304
Antigua and Barbuda,1227.2345244997198,0.2,1.4,0.4,0.3,2.2,0.2,305
Myanmar,1220.919522901353,1.8,3.0,0.8,1.6,2.4,1.4,306
Barbados,1218.1516382134455,1.4,2.6,0.6,1.2,2.3,0.6,307
Bangladesh,1215.5900822178405,1.2,1.4,1.6,1.2,1.3,1.3,308
Turks and Caicos Islands,1205.3137288525568,1.2,2.2,1.4,0.9,1.8,1.0,309
Nepal,1204.9413694236016,0.6,1.4,0.4,0.7,1.1,0.9,310
Andorra,1204.3245197813312,0.4,1.2,0.8,0.5,1.6,0.6,311
Tonga,1201.340715865733,2.2,2.0,1.2,1.2,4.5,0.6,312
Taiwan,1191.5725634147116,0.6,4.0,0.0,1.4,2.9,0.6,313
Cayman Islands,1182.8299767936335,1.6,1.4,1.4,0.9,2.1,0.8,314
Pakistan,1166.8645912401087,1.6,1.2,2.0,0.8,1.5,1.1,315
Cambodia,1160.9600209653042,1.8,1.0,1.4,1.7,1.5,1.1,316
Northern Mariana Islands,1160.1585205482,1.8,2.4,1.4,1.0,4.4,0.8,317
British Virgin Islands,1159.9789494621878,2.6,1.0,2.0,1.7,1.5,1.4,318
Alderney,1150.6851371449732,1.2,3.8,0.6,0.9,3.2,0.6,319
Djibouti,1144.7700527507568,0.2,2.8,0.0,0.5,2.7,0.2,320
Somalia,1141.511016176137,0.4,1.4,0.8,0.4,1.7,0.5,321
American Samoa,1133.219386877456,0.8,4.6,0.0,0.6,6.6,0.1,322
Bahamas,1129.9841464896372,0.4,4.0,0.0,1.2,3.9,0.4,323
United States Virgin Islands,1127.404105633325,2.2,1.6,1.4,1.5,2.0,1.0,324
Sri Lanka,1115.5317589536146,0.6,2.0,0.8,0.9,1.5,1.3,325
Maldives,1112.6279928030026,0.0,2.2,0.0,0.6,2.0,0.4,326
Guam,1106.635139856396,1.6,4.0,0.6,1.4,2.8,0.7,327
Liechtenstein,1105.7842703673975,0.4,3.0,0.6,0.3,3.3,0.3,328
Mongolia,1104.3075849715694,0.4,2.6,0.6,0.5,2.4,0.6,329
Seychelles,1102.7197719699775,0.0,5.6,0.0,0.2,5.3,0.0,330
Anguilla,1069.8440530103935,1.0,2.6,1.2,0.8,2.8,0.6,331
Laos,1066.4501251992463,0.6,3.2,0.6,1.1,2.9,0.5,332
Brunei,1040.8354472332935,0.4,3.2,0.6,0.4,2.4,0.7,333
Timor-Leste,1022.7819811788981,0.6,2.6,0.6,0.6,3.5,0.3,334
San Marino,1008.7680474266306,0.8,2.6,0.2,0.5,3.7,0.1,335
Macau,995.118626183558,0.4,3.0,0.0,0.3,2.8,0.1,336
Bhutan,986.6010189849164,0.4,3.8,0.0,0.3,2.4,0.4,337
